LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
30000.0,1.0,2.0,2.0,32.0,-1.0,2.0,2.0,2.0,2.0,2.0,17578.0,17988.0,20374.0,20738.0,22253.0,24748.0,1000.0,3000.0,1000.0,2170.0,3000.0,0.0
30000.0,1.0,2.0,2.0,31.0,1.0,2.0,2.0,2.0,2.0,2.0,10916.0,11940.0,11462.0,13263.0,12758.0,13545.0,1500.0,0.0,2300.0,0.0,1300.0,800.0
160000.0,2.0,2.0,2.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13849.0,40862.0,2239.0,552.0,19367.0,-1.0,40991.0,2252.0,553.0,19425.0,0.0,649.0
130000.0,1.0,2.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,123044.0,122981.0,102151.0,90917.0,92729.0,93359.0,4949.0,4000.0,3250.0,3231.0,3324.0,3242.0
20000.0,2.0,2.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,20885.0,20373.0,19391.0,20085.0,19938.0,0.0,2157.0,1660.0,1300.0,541.0,0.0,0.0
260000.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,115937.0,118957.0,119649.0,122448.0,-3353.0,123939.0,5800.0,6000.0,8000.0,40000.0,127292.0,6000.0
180000.0,2.0,2.0,2.0,37.0,1.0,2.0,0.0,0.0,0.0,0.0,37095.0,32881.0,33627.0,128051.0,106834.0,105551.0,0.0,3042.0,109470.0,4000.0,4000.0,7028.0
30000.0,1.0,2.0,2.0,25.0,1.0,2.0,2.0,2.0,2.0,2.0,26623.0,27703.0,26753.0,30107.0,30614.0,27190.0,1800.0,0.0,4100.0,900.0,0.0,40925.0
140000.0,2.0,3.0,2.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,142270.0,144418.0,143728.0,125158.0,93998.0,91229.0,5357.0,5829.0,6240.0,3500.0,3500.0,4000.0
50000.0,1.0,2.0,2.0,24.0,1.0,2.0,2.0,2.0,2.0,2.0,41974.0,43210.0,42368.0,44553.0,45679.0,46275.0,2200.0,150.0,3200.0,2000.0,1500.0,2000.0
200000.0,1.0,1.0,2.0,30.0,-1.0,-1.0,-1.0,-2.0,-1.0,2.0,15176.0,2693.0,6632.0,0.0,734.0,584.0,2715.0,6632.0,0.0,734.0,0.0,22489.0
